id,term,category,synonyms,icd11_tm2_code,references,description
AY001,Amlapitta,Ayurvedic Disease,"Dyspepsia,Sour indigestion",TM2-AY134,Charaka Samhita,Acid dyspepsia characterized by sour belching and heartburn
AY002,Vata Dosha Imbalance,Ayurvedic Constitutional Disorder,"Wind disorder,Nervous system imbalance",,Sushruta Samhita,Imbalance of Vata dosha affecting movement and nervous functions
UN001,Mizaj-e-Har,Unani Temperament,"Hot temperament,Warm constitution",TM2-UN045,Canon of Medicine,Hot temperament in Unani medicine system
SI002,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI874,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
UN003,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN785,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
SI003,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI453,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
AY004,Apasmara,Ayurvedic Disease,"Epilepsy,Seizures",TM2-AY916,Charaka Samhita,A condition of Epilepsy characterized by Seizures in Ayurvedic Disease context.
SI004,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI186,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
SI005,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI692,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
HO002,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO982,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
AY005,Arsha,Ayurvedic Disease,"Hemorrhoids,Piles",TM2-AY576,Charaka Samhita,A condition of Hemorrhoids characterized by Piles in Ayurvedic Disease context.
UN004,War-e-Kabid,Unani Disease,"Hepatitis,Liver inflammation",TM2-UN731,Canon of Medicine,A condition of Hepatitis characterized by Liver inflammation in Unani Disease context.
HO003,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO123,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
HO004,Gelsemium,Homeopathic Indication,"Flu,Dullness",TM2-HO245,Organon of Medicine,A condition of Flu characterized by Dullness in Homeopathic Indication context.
SI006,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI632,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
UN005,Nazla,Unani Disease,"Catarrh,Coryza",TM2-UN937,Canon of Medicine,A condition of Catarrh characterized by Coryza in Unani Disease context.
SI007,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI522,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
AY006,Shwasa,Ayurvedic Disease,"Asthma,Breathing difficulty",TM2-AY927,Charaka Samhita,A condition of Asthma characterized by Breathing difficulty in Ayurvedic Disease context.
HO005,Gelsemium,Homeopathic Indication,"Flu,Dullness",TM2-HO243,Organon of Medicine,A condition of Flu characterized by Dullness in Homeopathic Indication context.
SI008,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI523,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
YO002,Core Strength,Yoga Therapy,"Abdominal Tone,Strength",TM2-YO985,Yoga Sutras,A condition of Abdominal Tone characterized by Strength in Yoga Therapy context.
SI009,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI337,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
SI010,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI450,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
HO006,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO322,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
UN006,Suda,Unani Disease,"Headache,Cephalalgia",TM2-UN925,Canon of Medicine,A condition of Headache characterized by Cephalalgia in Unani Disease context.
HO007,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO488,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
UN007,Zukan,Unani Disease,"Common Cold,Running nose",TM2-UN244,Canon of Medicine,A condition of Common Cold characterized by Running nose in Unani Disease context.
HO008,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO479,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
SI011,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI651,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
